Returned,Order ID,Region,matched_columns,matched_values
Yes,CA-2012-SA20830140-41210,Central US,Order ID,41210
Yes,IN-2012-PB19210127-41259,Eastern Asia,Order ID,41259
Yes,CA-2012-SC20095140-41174,Central US,Order ID,41174
Yes,IN-2015-JH158207-42140,Oceania,Order ID,42140
Yes,IN-2014-LC168857-41747,Oceania,Order ID,41747
Yes,ID-2013-AB1001527-41439,Eastern Asia,Order ID,41439
Yes,ES-2015-RA1994545-42218,Western Europe,Order ID,42218
Yes,CA-2014-TB21280140-41724,Central US,Order ID,41724
Yes,ES-2014-JF15295120-41924,Southern Europe,Order ID,41924
Yes,IN-2014-NM1844527-41800,Eastern Asia,Order ID,41800
Yes,IN-2015-GB145307-42260,Oceania,Order ID,42260
Yes,ES-2012-SC208458-41070,Western Europe,Order ID,41070
Yes,TU-2013-SF10200134-41417,Western Asia,Order ID,41417
Yes,ID-2015-RD1993092-42140,Oceania,Order ID,42140
Yes,CA-2014-TC21295140-41800,Southern US,Order ID,41800
Yes,SF-2015-MV8190117-42362,Southern Africa,Order ID,42362
Yes,IN-2014-EM1382566-41850,Eastern Asia,Order ID,41850
Yes,ES-2015-CC1210045-42182,Western Europe,Order ID,42182
Yes,ES-2015-MM1792045-42199,Western Europe,Order ID,42199
Yes,IN-2015-DB1306027-42353,Eastern Asia,Order ID,42353
Yes,IN-2013-JC157757-41310,Oceania,Order ID,41310
Yes,CA-2015-RB19705140-42262,Eastern US,Order ID,42262
Yes,ES-2015-BB1154548-42336,Western Europe,Order ID,42336
Yes,AL-2012-SC102302-40970,Southern Europe,Order ID,40970
Yes,UP-2014-MC7275137-41997,Eastern Europe,Order ID,41997
Yes,IN-2013-EJ13720113-41608,Southeastern Asia,Order ID,41608
Yes,CA-2012-AJ10780140-41212,Eastern US,Order ID,41212
Yes,CA-2014-EM14140140-41822,Western US,Order ID,41822
Yes,ES-2015-RD19585120-42007,Southern Europe,Order ID,42007
Yes,US-2014-SC20230140-41873,Western US,Order ID,41873
Yes,IN-2013-JR1570058-41441,Southern Asia,Order ID,41441
