Returned,Order ID,Region,Ship Date,Order Date,_parsed_return,inferred_return_date,return_date_source
Yes,CA-2012-SA20830140-41210,Central US,2012-10-30,10/28/2012,,2012-11-06,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,IN-2012-PB19210127-41259,Eastern Asia,2012-12-19,12/16/2012,,2012-12-26,inferred_from_ship
Yes,CA-2012-SC20095140-41174,Central US,2012-09-27,9/22/2012,,2012-10-04,inferred_from_ship
Yes,CA-2012-SC20095140-41174,Central US,2012-09-27,9/22/2012,,2012-10-04,inferred_from_ship
Yes,CA-2012-SC20095140-41174,Central US,2012-09-27,9/22/2012,,2012-10-04,inferred_from_ship
Yes,CA-2012-SC20095140-41174,Central US,2012-09-27,9/22/2012,,2012-10-04,inferred_from_ship
Yes,IN-2015-JH158207-42140,Oceania,2015-05-18,5/16/2015,,2015-05-25,inferred_from_ship
Yes,IN-2015-JH158207-42140,Oceania,2015-05-18,5/16/2015,,2015-05-25,inferred_from_ship
Yes,IN-2015-JH158207-42140,Oceania,2015-05-18,5/16/2015,,2015-05-25,inferred_from_ship
Yes,IN-2015-JH158207-42140,Oceania,2015-05-18,5/16/2015,,2015-05-25,inferred_from_ship
Yes,IN-2014-LC168857-41747,Oceania,2014-04-19,4/18/2014,,2014-04-26,inferred_from_ship
Yes,ID-2013-AB1001527-41439,Eastern Asia,2013-06-17,6/14/2013,,2013-06-24,inferred_from_ship
Yes,ID-2013-AB1001527-41439,Eastern Asia,2013-06-17,6/14/2013,,2013-06-24,inferred_from_ship
Yes,ES-2015-RA1994545-42218,Western Europe,2015-08-03,8/2/2015,,2015-08-10,inferred_from_ship
Yes,CA-2014-TB21280140-41724,Central US,2014-03-26,3/26/2014,,2014-04-02,inferred_from_ship
Yes,ES-2014-JF15295120-41924,Southern Europe,2014-10-12,10/12/2014,,2014-10-19,inferred_from_ship
Yes,IN-2014-NM1844527-41800,Eastern Asia,2014-06-10,6/10/2014,,2014-06-17,inferred_from_ship
Yes,IN-2014-NM1844527-41800,Eastern Asia,2014-06-10,6/10/2014,,2014-06-17,inferred_from_ship
Yes,IN-2014-NM1844527-41800,Eastern Asia,2014-06-10,6/10/2014,,2014-06-17,inferred_from_ship
Yes,IN-2015-GB145307-42260,Oceania,2015-09-19,9/13/2015,,2015-09-26,inferred_from_ship
Yes,ES-2012-SC208458-41070,Western Europe,2012-06-13,6/10/2012,,2012-06-20,inferred_from_ship
Yes,TU-2013-SF10200134-41417,Western Asia,2013-05-26,5/23/2013,,2013-06-02,inferred_from_ship
Yes,TU-2013-SF10200134-41417,Western Asia,2013-05-26,5/23/2013,,2013-06-02,inferred_from_ship
Yes,TU-2013-SF10200134-41417,Western Asia,2013-05-26,5/23/2013,,2013-06-02,inferred_from_ship
Yes,ID-2015-RD1993092-42140,Oceania,2015-05-18,5/16/2015,,2015-05-25,inferred_from_ship
Yes,ID-2015-RD1993092-42140,Oceania,2015-05-18,5/16/2015,,2015-05-25,inferred_from_ship
Yes,CA-2014-TC21295140-41800,Southern US,2014-06-13,6/10/2014,,2014-06-20,inferred_from_ship
Yes,SF-2015-MV8190117-42362,Southern Africa,2015-12-27,12/24/2015,,2016-01-03,inferred_from_ship
Yes,SF-2015-MV8190117-42362,Southern Africa,2015-12-27,12/24/2015,,2016-01-03,inferred_from_ship
Yes,IN-2014-EM1382566-41850,Eastern Asia,2014-07-30,7/30/2014,,2014-08-06,inferred_from_ship
Yes,IN-2014-EM1382566-41850,Eastern Asia,2014-07-30,7/30/2014,,2014-08-06,inferred_from_ship
Yes,IN-2014-EM1382566-41850,Eastern Asia,2014-07-30,7/30/2014,,2014-08-06,inferred_from_ship
Yes,IN-2014-EM1382566-41850,Eastern Asia,2014-07-30,7/30/2014,,2014-08-06,inferred_from_ship
Yes,IN-2014-EM1382566-41850,Eastern Asia,2014-07-30,7/30/2014,,2014-08-06,inferred_from_ship
Yes,ES-2015-CC1210045-42182,Western Europe,2015-06-27,6/27/2015,,2015-07-04,inferred_from_ship
Yes,ES-2015-MM1792045-42199,Western Europe,2015-07-18,7/14/2015,,2015-07-25,inferred_from_ship
Yes,ES-2015-MM1792045-42199,Western Europe,2015-07-18,7/14/2015,,2015-07-25,inferred_from_ship
Yes,IN-2015-DB1306027-42353,Eastern Asia,2015-12-17,12/15/2015,,2015-12-24,inferred_from_ship
Yes,IN-2013-JC157757-41310,Oceania,2013-02-08,2/5/2013,,2013-02-15,inferred_from_ship
Yes,IN-2013-JC157757-41310,Oceania,2013-02-08,2/5/2013,,2013-02-15,inferred_from_ship
Yes,CA-2015-RB19705140-42262,Eastern US,2015-09-17,9/15/2015,,2015-09-24,inferred_from_ship
Yes,CA-2015-RB19705140-42262,Eastern US,2015-09-17,9/15/2015,,2015-09-24,inferred_from_ship
Yes,CA-2015-RB19705140-42262,Eastern US,2015-09-17,9/15/2015,,2015-09-24,inferred_from_ship
Yes,CA-2015-RB19705140-42262,Eastern US,2015-09-17,9/15/2015,,2015-09-24,inferred_from_ship
Yes,ES-2015-BB1154548-42336,Western Europe,2015-12-03,11/28/2015,,2015-12-10,inferred_from_ship
Yes,ES-2015-BB1154548-42336,Western Europe,2015-12-03,11/28/2015,,2015-12-10,inferred_from_ship
Yes,ES-2015-BB1154548-42336,Western Europe,2015-12-03,11/28/2015,,2015-12-10,inferred_from_ship
Yes,ES-2015-BB1154548-42336,Western Europe,2015-12-03,11/28/2015,,2015-12-10,inferred_from_ship
Yes,ES-2015-BB1154548-42336,Western Europe,2015-12-03,11/28/2015,,2015-12-10,inferred_from_ship
Yes,ES-2015-BB1154548-42336,Western Europe,2015-12-03,11/28/2015,,2015-12-10,inferred_from_ship
Yes,AL-2012-SC102302-40970,Southern Europe,2012-03-04,3/2/2012,,2012-03-11,inferred_from_ship
Yes,UP-2014-MC7275137-41997,Eastern Europe,2014-12-29,12/24/2014,,2015-01-05,inferred_from_ship
Yes,IN-2013-EJ13720113-41608,Southeastern Asia,2013-12-04,11/30/2013,,2013-12-11,inferred_from_ship
Yes,IN-2013-EJ13720113-41608,Southeastern Asia,2013-12-04,11/30/2013,,2013-12-11,inferred_from_ship
Yes,CA-2012-AJ10780140-41212,Eastern US,2012-11-01,10/30/2012,,2012-11-08,inferred_from_ship
Yes,CA-2014-EM14140140-41822,Western US,2014-07-04,7/2/2014,,2014-07-11,inferred_from_ship
Yes,ES-2015-RD19585120-42007,Southern Europe,2015-01-04,1/3/2015,,2015-01-11,inferred_from_ship
Yes,ES-2015-RD19585120-42007,Southern Europe,2015-01-04,1/3/2015,,2015-01-11,inferred_from_ship
Yes,ES-2015-RD19585120-42007,Southern Europe,2015-01-04,1/3/2015,,2015-01-11,inferred_from_ship
Yes,ES-2015-RD19585120-42007,Southern Europe,2015-01-04,1/3/2015,,2015-01-11,inferred_from_ship
Yes,US-2014-SC20230140-41873,Western US,2014-08-29,8/22/2014,,2014-09-05,inferred_from_ship
Yes,US-2014-SC20230140-41873,Western US,2014-08-29,8/22/2014,,2014-09-05,inferred_from_ship
Yes,US-2014-SC20230140-41873,Western US,2014-08-29,8/22/2014,,2014-09-05,inferred_from_ship
Yes,US-2014-SC20230140-41873,Western US,2014-08-29,8/22/2014,,2014-09-05,inferred_from_ship
Yes,US-2014-SC20230140-41873,Western US,2014-08-29,8/22/2014,,2014-09-05,inferred_from_ship
Yes,US-2014-SC20230140-41873,Western US,2014-08-29,8/22/2014,,2014-09-05,inferred_from_ship
Yes,US-2014-SC20230140-41873,Western US,2014-08-29,8/22/2014,,2014-09-05,inferred_from_ship
Yes,IN-2013-JR1570058-41441,Southern Asia,2013-06-22,6/16/2013,,2013-06-29,inferred_from_ship
Yes,IN-2013-JR1570058-41441,Southern Asia,2013-06-22,6/16/2013,,2013-06-29,inferred_from_ship
Yes,IN-2013-JR1570058-41441,Southern Asia,2013-06-22,6/16/2013,,2013-06-29,inferred_from_ship
Yes,IN-2013-DL129257-41418,Oceania,2013-05-28,5/24/2013,,2013-06-04,inferred_from_ship
Yes,IN-2013-DL129257-41418,Oceania,2013-05-28,5/24/2013,,2013-06-04,inferred_from_ship
Yes,IN-2013-DL129257-41418,Oceania,2013-05-28,5/24/2013,,2013-06-04,inferred_from_ship
Yes,ES-2014-EG1390045-41644,Western Europe,2014-01-10,1/5/2014,,2014-01-17,inferred_from_ship
Yes,ES-2014-EG1390045-41644,Western Europe,2014-01-10,1/5/2014,,2014-01-17,inferred_from_ship
Yes,ES-2013-DB1297045-41458,Western Europe,2013-07-07,7/3/2013,,2013-07-14,inferred_from_ship
Yes,CA-2014-CL12565140-41768,Eastern US,2014-05-09,5/9/2014,,2014-05-16,inferred_from_ship
Yes,CA-2014-CL12565140-41768,Eastern US,2014-05-09,5/9/2014,,2014-05-16,inferred_from_ship
Yes,CA-2014-CL12565140-41768,Eastern US,2014-05-09,5/9/2014,,2014-05-16,inferred_from_ship
Yes,CA-2014-CL12565140-41768,Eastern US,2014-05-09,5/9/2014,,2014-05-16,inferred_from_ship
Yes,CA-2014-CL12565140-41768,Eastern US,2014-05-09,5/9/2014,,2014-05-16,inferred_from_ship
Yes,ES-2014-EB13930139-41962,Northern Europe,2014-11-24,11/19/2014,,2014-12-01,inferred_from_ship
Yes,ES-2014-EB13930139-41962,Northern Europe,2014-11-24,11/19/2014,,2014-12-01,inferred_from_ship
Yes,IN-2015-ML1739559-42369,Southeastern Asia,2016-01-01,12/31/2015,,2016-01-08,inferred_from_ship
Yes,SA-2015-MC7575110-42326,Western Asia,2015-11-21,11/18/2015,,2015-11-28,inferred_from_ship
Yes,SA-2015-MC7575110-42326,Western Asia,2015-11-21,11/18/2015,,2015-11-28,inferred_from_ship
Yes,SA-2015-MC7575110-42326,Western Asia,2015-11-21,11/18/2015,,2015-11-28,inferred_from_ship
Yes,SA-2015-MC7575110-42326,Western Asia,2015-11-21,11/18/2015,,2015-11-28,inferred_from_ship
Yes,SA-2015-MC7575110-42326,Western Asia,2015-11-21,11/18/2015,,2015-11-28,inferred_from_ship
Yes,CA-2014-SS1041023-41995,Eastern Canada,2014-12-24,12/22/2014,,2014-12-31,inferred_from_ship
Yes,CA-2014-SS1041023-41995,Eastern Canada,2014-12-24,12/22/2014,,2014-12-31,inferred_from_ship
Yes,CA-2014-SS1041023-41995,Eastern Canada,2014-12-24,12/22/2014,,2014-12-31,inferred_from_ship
Yes,CA-2014-SS1041023-41995,Eastern Canada,2014-12-24,12/22/2014,,2014-12-31,inferred_from_ship
Yes,CA-2014-SS1041023-41995,Eastern Canada,2014-12-24,12/22/2014,,2014-12-31,inferred_from_ship
Yes,ID-2015-ST205307-42336,Oceania,2015-12-05,11/28/2015,,2015-12-12,inferred_from_ship
Yes,ID-2015-ST205307-42336,Oceania,2015-12-05,11/28/2015,,2015-12-12,inferred_from_ship
Yes,ID-2015-ST205307-42336,Oceania,2015-12-05,11/28/2015,,2015-12-12,inferred_from_ship
Yes,ID-2015-ST205307-42336,Oceania,2015-12-05,11/28/2015,,2015-12-12,inferred_from_ship
Yes,ID-2015-ST205307-42336,Oceania,2015-12-05,11/28/2015,,2015-12-12,inferred_from_ship
Yes,MX-2012-AH1003082-41251,Central America,2012-12-09,12/8/2012,,2012-12-16,inferred_from_ship
Yes,MX-2012-AH1003082-41251,Central America,2012-12-09,12/8/2012,,2012-12-16,inferred_from_ship
Yes,ID-2015-MM1726078-42181,Southeastern Asia,2015-07-01,6/26/2015,,2015-07-08,inferred_from_ship
Yes,ID-2015-MM1726078-42181,Southeastern Asia,2015-07-01,6/26/2015,,2015-07-08,inferred_from_ship
Yes,ID-2015-MM1726078-42181,Southeastern Asia,2015-07-01,6/26/2015,,2015-07-08,inferred_from_ship
Yes,ID-2015-MM1726078-42181,Southeastern Asia,2015-07-01,6/26/2015,,2015-07-08,inferred_from_ship
Yes,ID-2015-MM1726078-42181,Southeastern Asia,2015-07-01,6/26/2015,,2015-07-08,inferred_from_ship
Yes,IT-2015-DM1301564-42167,Southern Europe,2015-06-13,6/12/2015,,2015-06-20,inferred_from_ship
Yes,IN-2015-JW1595527-42190,Eastern Asia,2015-07-09,7/5/2015,,2015-07-16,inferred_from_ship
Yes,IN-2015-JW1595527-42190,Eastern Asia,2015-07-09,7/5/2015,,2015-07-16,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,CA-2013-SG20080140-41578,Western US,2013-10-31,10/31/2013,,2013-11-07,inferred_from_ship
Yes,IN-2014-PF1912027-41916,Eastern Asia,2014-10-08,10/4/2014,,2014-10-15,inferred_from_ship
Yes,US-2015-AG1052582-42355,Central America,2015-12-21,12/17/2015,,2015-12-28,inferred_from_ship
Yes,IN-2015-PB191057-42281,Oceania,2015-10-05,10/4/2015,,2015-10-12,inferred_from_ship
Yes,MX-2015-BS1136518-42199,South America,2015-07-16,7/14/2015,,2015-07-23,inferred_from_ship
Yes,MX-2015-BS1136518-42199,South America,2015-07-16,7/14/2015,,2015-07-23,inferred_from_ship
Yes,MX-2015-BS1136518-42199,South America,2015-07-16,7/14/2015,,2015-07-23,inferred_from_ship
Yes,MX-2015-BS1136518-42199,South America,2015-07-16,7/14/2015,,2015-07-23,inferred_from_ship
Yes,IT-2012-MP1817545-41040,Western Europe,2012-05-13,5/11/2012,,2012-05-20,inferred_from_ship
Yes,IN-2014-BT1168027-41815,Eastern Asia,2014-06-26,6/25/2014,,2014-07-03,inferred_from_ship
Yes,IN-2014-BT1168027-41815,Eastern Asia,2014-06-26,6/25/2014,,2014-07-03,inferred_from_ship
Yes,IN-2013-MH180257-41443,Oceania,2013-06-20,6/18/2013,,2013-06-27,inferred_from_ship
Yes,IN-2013-MH180257-41443,Oceania,2013-06-20,6/18/2013,,2013-06-27,inferred_from_ship
Yes,IN-2013-MH180257-41443,Oceania,2013-06-20,6/18/2013,,2013-06-27,inferred_from_ship
Yes,IN-2013-MH180257-41443,Oceania,2013-06-20,6/18/2013,,2013-06-27,inferred_from_ship
Yes,ID-2015-LW172157-42293,Oceania,2015-10-20,10/16/2015,,2015-10-27,inferred_from_ship
Yes,ID-2015-LW172157-42293,Oceania,2015-10-20,10/16/2015,,2015-10-27,inferred_from_ship
Yes,ID-2015-LW172157-42293,Oceania,2015-10-20,10/16/2015,,2015-10-27,inferred_from_ship
Yes,MX-2014-KA1652539-41922,Central America,2014-10-12,10/10/2014,,2014-10-19,inferred_from_ship
Yes,ID-2015-CS123557-42328,Oceania,2015-11-23,11/20/2015,,2015-11-30,inferred_from_ship
Yes,ID-2015-CS123557-42328,Oceania,2015-11-23,11/20/2015,,2015-11-30,inferred_from_ship
Yes,ID-2015-CS123557-42328,Oceania,2015-11-23,11/20/2015,,2015-11-30,inferred_from_ship
Yes,IN-2015-KM163757-42342,Oceania,2015-12-04,12/4/2015,,2015-12-11,inferred_from_ship
Yes,IN-2015-KM163757-42342,Oceania,2015-12-04,12/4/2015,,2015-12-11,inferred_from_ship
Yes,IN-2015-KM163757-42342,Oceania,2015-12-04,12/4/2015,,2015-12-11,inferred_from_ship
Yes,MX-2013-PK1891082-41532,Central America,2013-09-15,9/15/2013,,2013-09-22,inferred_from_ship
Yes,MX-2013-PK1891082-41532,Central America,2013-09-15,9/15/2013,,2013-09-22,inferred_from_ship
Yes,MX-2013-PK1891082-41532,Central America,2013-09-15,9/15/2013,,2013-09-22,inferred_from_ship
Yes,MX-2013-PK1891082-41532,Central America,2013-09-15,9/15/2013,,2013-09-22,inferred_from_ship
Yes,MX-2013-PK1891082-41532,Central America,2013-09-15,9/15/2013,,2013-09-22,inferred_from_ship
Yes,ES-2015-BT1139564-42088,Southern Europe,2015-04-01,3/25/2015,,2015-04-08,inferred_from_ship
Yes,ES-2015-BT1139564-42088,Southern Europe,2015-04-01,3/25/2015,,2015-04-08,inferred_from_ship
Yes,ES-2015-BT1139564-42088,Southern Europe,2015-04-01,3/25/2015,,2015-04-08,inferred_from_ship
Yes,ES-2015-BT1139564-42088,Southern Europe,2015-04-01,3/25/2015,,2015-04-08,inferred_from_ship
Yes,ES-2015-BT1139564-42088,Southern Europe,2015-04-01,3/25/2015,,2015-04-08,inferred_from_ship
Yes,ES-2015-BT1139564-42088,Southern Europe,2015-04-01,3/25/2015,,2015-04-08,inferred_from_ship
Yes,ES-2015-BT1139564-42088,Southern Europe,2015-04-01,3/25/2015,,2015-04-08,inferred_from_ship
Yes,MX-2013-CC1243082-41634,Central America,2013-12-28,12/26/2013,,2014-01-04,inferred_from_ship
Yes,MX-2013-CC1243082-41634,Central America,2013-12-28,12/26/2013,,2014-01-04,inferred_from_ship
Yes,MX-2013-CC1243082-41634,Central America,2013-12-28,12/26/2013,,2014-01-04,inferred_from_ship
Yes,MX-2013-CC1243082-41634,Central America,2013-12-28,12/26/2013,,2014-01-04,inferred_from_ship
Yes,IT-2015-AR1082545-42290,Western Europe,2015-10-16,10/13/2015,,2015-10-23,inferred_from_ship
Yes,IT-2015-AR1082545-42290,Western Europe,2015-10-16,10/13/2015,,2015-10-23,inferred_from_ship
Yes,ID-2014-CS11860102-41858,Southeastern Asia,2014-08-09,8/7/2014,,2014-08-16,inferred_from_ship
Yes,ID-2014-CS11860102-41858,Southeastern Asia,2014-08-09,8/7/2014,,2014-08-16,inferred_from_ship
Yes,IN-2014-AB1060058-41858,Southern Asia,2014-08-14,8/7/2014,,2014-08-21,inferred_from_ship
Yes,IN-2014-AB1060058-41858,Southern Asia,2014-08-14,8/7/2014,,2014-08-21,inferred_from_ship
Yes,IN-2014-AB1060058-41858,Southern Asia,2014-08-14,8/7/2014,,2014-08-21,inferred_from_ship
Yes,IN-2012-CG1204027-41252,Eastern Asia,2012-12-11,12/9/2012,,2012-12-18,inferred_from_ship
Yes,AG-2013-PO88653-41634,North Africa,2013-12-30,12/26/2013,,2014-01-06,inferred_from_ship
