row_id,order_id,product_id,quantity,sales,discount,profit,shipping_cost
40098,CA-2014-AB10015140-41954,TEC-PH-5816,2,221.98,0.0,62.15,40.77
26341,IN-2014-JR162107-41675,FUR-CH-5379,9,3709.4,0.1,-288.77,923.63
25330,IN-2014-CR127307-41929,TEC-PH-5356,9,5175.17,0.1,919.97,915.49
13524,ES-2014-KM1637548-41667,TEC-PH-5267,5,2892.51,0.1,-96.54,910.16
47221,SG-2014-RH9495111-41948,TEC-CO-6011,8,2832.96,0.0,311.52,903.04
22732,IN-2014-JM156557-41818,TEC-PH-5842,5,2862.68,0.1,763.28,897.35
30570,IN-2012-TS2134092-41219,FUR-CH-5378,4,1822.08,0.0,564.84,894.77
31192,IN-2013-MB1808592-41378,FUR-TA-3764,6,5244.84,0.0,996.48,878.38
40099,CA-2014-AB10015140-41954,FUR-BO-5957,2,341.96,0.0,54.71,25.27
36258,CA-2012-AB10015140-40974,FUR-CH-4421,1,48.71,0.2,5.48,11.13
36259,CA-2012-AB10015140-40974,OFF-AR-5309,3,17.94,0.0,4.66,4.29
28879,ID-2013-AJ107801-41383,FUR-TA-3420,5,4626.15,0.0,647.55,835.57
45794,SA-2012-MM7260110-41269,TEC-PH-3807,4,2616.96,0.0,1151.4,832.41
4132,MX-2013-VF2171518-41591,FUR-CH-4530,7,2221.8,0.0,622.02,810.25
27704,IN-2014-PF1912027-41796,OFF-AP-4959,12,3701.52,0.0,1036.08,804.54
13779,ES-2015-BP1118545-42216,OFF-AP-3575,4,1869.59,0.1,186.95,801.66
39519,CA-2012-AB10015140-40958,OFF-ST-3078,2,12.62,0.2,-2.52,1.97
12069,ES-2015-PJ1883564-42255,OFF-AP-4743,14,7958.58,0.0,3979.08,778.32
22096,IN-2015-JS156857-42035,TEC-CO-3597,9,2565.59,0.1,28.4,766.93
49463,TZ-2015-RH9555129-42343,OFF-AP-4967,6,3409.74,0.0,818.28,763.38
46630,PL-2013-AB600103-41494,FUR-TA-4644,4,1977.72,0.0,276.84,759.47
36260,CA-2012-AB10015140-40974,OFF-ST-3744,3,242.94,0.0,4.86,1.28
21586,IN-2012-JK1532527-41030,FUR-CH-5774,6,2754.0,0.0,358.02,752.47
13528,ES-2014-LB16795139-41697,OFF-AP-4960,10,5273.7,0.0,1898.4,730.91
1570,US-2015-NP1832582-42216,TEC-PH-5268,4,1713.84,0.0,445.52,728.968
3484,MX-2015-VD2167039-42252,FUR-TA-4643,8,2106.5,0.2,526.5,728.389
30191,IN-2012-PB19210127-41259,FUR-TA-5060,2,1715.16,0.0,720.36,725.57
11645,ES-2012-EB1411048-40981,OFF-AP-4743,6,3069.74,0.1,1364.24,725.34
38460,CA-2012-AH10030140-41020,OFF-FA-6129,8,247.84,0.0,121.44,55.2
22999,IN-2013-BP1123058-41329,FUR-CH-5443,4,1878.72,0.0,582.36,704.08
220,US-2012-RR1952536-41270,TEC-PH-5841,5,1696.64,0.2,-148.46,704.056
10648,ES-2013-BS1136545-41472,TEC-MA-5503,9,2402.87,0.15,763.16,699.55
40977,CA-2013-AH10030140-41635,TEC-PH-4389,9,668.16,0.2,75.17,45.74
21286,IN-2012-DP131057-41215,OFF-AP-3579,5,2526.93,0.1,561.48,689.8
40976,CA-2013-AH10030140-41635,OFF-ST-4291,2,323.1,0.0,61.39,26.7
47905,CG-2012-AH1003033-41165,TEC-PH-3148,6,3817.26,0.0,1068.66,678.15
36651,CA-2012-AH10030140-41041,FUR-CH-4840,6,279.46,0.2,20.96,11.69
40100,CA-2012-AH10030140-41273,TEC-AC-6340,3,34.77,0.0,11.47,8.22
15380,ES-2015-PO18865139-42018,TEC-CO-3598,13,4141.02,0.0,1697.67,668.96
28046,IN-2012-DL128657-40918,TEC-PH-5356,5,2875.1,0.1,511.1,665.27
21316,ID-2014-JB1600059-41873,TEC-PH-5268,6,3200.6,0.17,-77.2,660.87
29272,IN-2015-BF1100558-42319,TEC-PH-5269,7,4518.78,0.0,632.52,658.69
25795,IN-2015-VG2180558-42273,FUR-BO-5951,13,5667.87,0.0,2097.03,658.35
16681,ES-2013-GT14710139-41621,TEC-PH-5267,9,5785.02,0.0,404.73,656.73
15953,IT-2012-ZC2191048-41174,OFF-AP-3874,7,3018.62,0.2,377.24,655.91
34608,CA-2014-AH10030140-41719,FUR-FU-4072,7,86.45,0.0,38.04,5.73
13847,IT-2014-EB1384045-41706,FUR-CH-5441,5,2092.5,0.1,720.75,652.98
24341,IN-2015-AP1091527-42244,FUR-CH-5380,6,2761.2,0.0,110.34,644.75
28701,IN-2015-SW2027558-42125,TEC-MA-5007,7,2174.13,0.0,500.01,637.86
6550,MX-2015-JH15820141-42356,FUR-CH-4531,11,3473.14,0.0,868.12,634.529
37425,US-2012-AH10030140-41206,OFF-BI-4372,4,49.41,0.2,18.53,2.84
48360,IR-2015-TG1164060-42265,TEC-CO-3678,8,2108.64,0.0,527.04,630.97
40101,CA-2012-AH10030140-41273,OFF-LA-3231,3,18.9,0.0,8.69,1.3
30190,IN-2012-PB19210127-41259,FUR-BO-5762,5,2197.5,0.0,153.75,627.27
42336,MZ-2014-DG330087-41991,TEC-PH-5269,4,2582.16,0.0,593.88,627.17
29047,IN-2013-SG2047058-41424,TEC-CO-4590,4,1526.52,0.0,732.72,625.77
38461,CA-2012-AH10030140-41020,OFF-BI-2937,3,9.91,0.2,3.35,1.2
29601,IN-2013-GP1474058-41419,FUR-TA-3766,2,1745.34,0.0,226.86,616.27
23499,IN-2015-MW182207-42221,OFF-AP-3577,9,4191.51,0.1,1164.27,614.34
36652,CA-2012-AH10030140-41041,OFF-PA-4014,2,8.0,0.0,3.84,1.15
26634,IN-2015-CS1246011-42074,FUR-BO-5760,7,3063.27,0.0,581.91,609.24
34496,CA-2015-AH10030140-42357,OFF-AR-3276,7,18.7,0.2,2.34,1.13
10522,ES-2015-MS1798048-42227,TEC-PH-5839,7,4473.0,0.0,313.11,604.4
10549,IT-2014-KC1667548-41882,TEC-PH-3130,9,1502.01,0.0,225.18,600.21
25314,IN-2015-DB1340527-42022,FUR-CH-5774,11,5049.0,0.0,656.37,595.5
32637,CA-2015-AS10045140-42007,TEC-MA-3788,2,695.7,0.5,-27.83,160.19
16653,IT-2015-DK13090120-42345,FUR-BO-5760,5,2188.05,0.0,1050.15,593.91
28932,IN-2015-CS1184558-42354,FUR-TA-3779,4,1920.36,0.0,652.92,592.77
8029,MX-2015-EM1420082-42328,TEC-PH-5839,4,1704.0,0.0,119.28,592.726
50411,UP-2012-DW3480137-41221,FUR-TA-3771,4,1858.68,0.0,130.08,590.56
21191,IN-2014-AS1022527-41797,FUR-CH-4530,7,3298.26,0.0,1055.25,589.36
4960,MX-2012-ST2053093-41234,OFF-AP-4497,13,2443.48,0.0,121.94,589.293
49085,CG-2014-BW106533-41727,FUR-CH-4530,8,3808.8,0.0,1523.52,588.13
21209,IN-2015-LA1678059-42242,FUR-TA-3422,7,3427.15,0.47,-452.81,586.57
12161,ES-2013-AB10150139-41537,TEC-PH-5355,6,3441.69,0.1,38.07,585.25
25438,IN-2015-JH158207-42140,TEC-PH-3147,5,2863.35,0.1,858.9,581.88
33130,CA-2015-AS10045140-42218,TEC-MA-3329,3,1439.98,0.4,-264.0,103.62
16988,ES-2014-BE1141048-41967,TEC-CO-3599,10,1487.4,0.0,728.7,580.98
24443,IN-2012-SZ2003527-41221,TEC-CO-6010,9,3200.04,0.0,1183.95,576.71
30199,IN-2012-RM1937558-41209,FUR-CH-5380,5,2301.0,0.0,91.95,573.27
