order_id,product_id,row_id,quantity,sales,discount,profit,shipping_cost
CA-2014-AB10015140-41954,TEC-PH-5816,40098,2,221.98,0.0,62.15,40.77
IN-2014-JR162107-41675,FUR-CH-5379,26341,9,3709.4,0.1,-288.77,923.63
IN-2014-CR127307-41929,TEC-PH-5356,25330,9,5175.17,0.1,919.97,915.49
ES-2014-KM1637548-41667,TEC-PH-5267,13524,5,2892.51,0.1,-96.54,910.16
SG-2014-RH9495111-41948,TEC-CO-6011,47221,8,2832.96,0.0,311.52,903.04
IN-2014-JM156557-41818,TEC-PH-5842,22732,5,2862.68,0.1,763.28,897.35
IN-2012-TS2134092-41219,FUR-CH-5378,30570,4,1822.08,0.0,564.84,894.77
IN-2013-MB1808592-41378,FUR-TA-3764,31192,6,5244.84,0.0,996.48,878.38
CA-2014-AB10015140-41954,FUR-BO-5957,40099,2,341.96,0.0,54.71,25.27
CA-2012-AB10015140-40974,FUR-CH-4421,36258,1,48.71,0.2,5.48,11.13
CA-2012-AB10015140-40974,OFF-AR-5309,36259,3,17.94,0.0,4.66,4.29
ID-2013-AJ107801-41383,FUR-TA-3420,28879,5,4626.15,0.0,647.55,835.57
SA-2012-MM7260110-41269,TEC-PH-3807,45794,4,2616.96,0.0,1151.4,832.41
MX-2013-VF2171518-41591,FUR-CH-4530,4132,7,2221.8,0.0,622.02,810.25
IN-2014-PF1912027-41796,OFF-AP-4959,27704,12,3701.52,0.0,1036.08,804.54
ES-2015-BP1118545-42216,OFF-AP-3575,13779,4,1869.59,0.1,186.95,801.66
CA-2012-AB10015140-40958,OFF-ST-3078,39519,2,12.62,0.2,-2.52,1.97
ES-2015-PJ1883564-42255,OFF-AP-4743,12069,14,7958.58,0.0,3979.08,778.32
IN-2015-JS156857-42035,TEC-CO-3597,22096,9,2565.59,0.1,28.4,766.93
TZ-2015-RH9555129-42343,OFF-AP-4967,49463,6,3409.74,0.0,818.28,763.38
PL-2013-AB600103-41494,FUR-TA-4644,46630,4,1977.72,0.0,276.84,759.47
CA-2012-AB10015140-40974,OFF-ST-3744,36260,3,242.94,0.0,4.86,1.28
IN-2012-JK1532527-41030,FUR-CH-5774,21586,6,2754.0,0.0,358.02,752.47
ES-2014-LB16795139-41697,OFF-AP-4960,13528,10,5273.7,0.0,1898.4,730.91
US-2015-NP1832582-42216,TEC-PH-5268,1570,4,1713.84,0.0,445.52,728.968
MX-2015-VD2167039-42252,FUR-TA-4643,3484,8,2106.5,0.2,526.5,728.389
IN-2012-PB19210127-41259,FUR-TA-5060,30191,2,1715.16,0.0,720.36,725.57
ES-2012-EB1411048-40981,OFF-AP-4743,11645,6,3069.74,0.1,1364.24,725.34
CA-2012-AH10030140-41020,OFF-FA-6129,38460,8,247.84,0.0,121.44,55.2
IN-2013-BP1123058-41329,FUR-CH-5443,22999,4,1878.72,0.0,582.36,704.08
US-2012-RR1952536-41270,TEC-PH-5841,220,5,1696.64,0.2,-148.46,704.056
ES-2013-BS1136545-41472,TEC-MA-5503,10648,9,2402.87,0.15,763.16,699.55
CA-2013-AH10030140-41635,TEC-PH-4389,40977,9,668.16,0.2,75.17,45.74
IN-2012-DP131057-41215,OFF-AP-3579,21286,5,2526.93,0.1,561.48,689.8
CA-2013-AH10030140-41635,OFF-ST-4291,40976,2,323.1,0.0,61.39,26.7
CG-2012-AH1003033-41165,TEC-PH-3148,47905,6,3817.26,0.0,1068.66,678.15
CA-2012-AH10030140-41041,FUR-CH-4840,36651,6,279.46,0.2,20.96,11.69
