order_id,order_date,ship_date,ship_mode,order_priority,market,region,customer_id
CA-2014-AB10015140-41954,2014-11-11,2014-11-13,First Class,High,USCA,Central US,AB-100151402
IN-2014-JR162107-41675,2014-02-05,2014-02-07,Second Class,Critical,Asia Pacific,Oceania,JR-162107
IN-2014-CR127307-41929,2014-10-17,2014-10-18,First Class,Medium,Asia Pacific,Oceania,CR-127307
ES-2014-KM1637548-41667,2014-01-28,2014-01-30,First Class,Medium,Europe,Western Europe,KM-1637548
SG-2014-RH9495111-41948,2014-11-05,2014-11-06,Same Day,Critical,Africa,Western Africa,RH-9495111
IN-2014-JM156557-41818,2014-06-28,2014-07-01,Second Class,Critical,Asia Pacific,Oceania,JM-156557
IN-2012-TS2134092-41219,2012-11-06,2012-11-08,First Class,Critical,Asia Pacific,Oceania,TS-2134092
IN-2013-MB1808592-41378,2013-04-14,2013-04-18,Standard Class,High,Asia Pacific,Oceania,MB-1808592
CA-2012-AB10015140-40974,2012-03-06,2012-03-07,First Class,High,USCA,Western US,AB-100151404
ID-2013-AJ107801-41383,2013-04-19,2013-04-22,First Class,High,Asia Pacific,Southern Asia,AJ-107801
SA-2012-MM7260110-41269,2012-12-26,2012-12-28,Second Class,Critical,Asia Pacific,Western Asia,MM-7260110
MX-2013-VF2171518-41591,2013-11-13,2013-11-13,Same Day,Critical,LATAM,South America,VF-2171518
IN-2014-PF1912027-41796,2014-06-06,2014-06-08,Second Class,Critical,Asia Pacific,Eastern Asia,PF-1912027
ES-2015-BP1118545-42216,2015-07-31,2015-08-03,Second Class,Critical,Europe,Western Europe,BP-1118545
CA-2012-AB10015140-40958,2012-02-19,2012-02-25,Standard Class,Low,USCA,Central US,AB-100151402
ES-2015-PJ1883564-42255,2015-09-08,2015-09-14,Standard Class,Low,Europe,Southern Europe,PJ-1883564
IN-2015-JS156857-42035,2015-01-31,2015-02-01,First Class,Critical,Asia Pacific,Oceania,JS-156857
TZ-2015-RH9555129-42343,2015-12-05,2015-12-07,Second Class,High,Africa,Eastern Africa,RH-9555129
PL-2013-AB600103-41494,2013-08-08,2013-08-10,First Class,Critical,Europe,Eastern Europe,AB-600103
IN-2012-JK1532527-41030,2012-05-01,2012-05-02,First Class,Critical,Asia Pacific,Eastern Asia,JK-1532527
ES-2014-LB16795139-41697,2014-02-27,2014-03-01,Second Class,High,Europe,Northern Europe,LB-16795139
US-2015-NP1832582-42216,2015-07-31,2015-08-01,First Class,Critical,LATAM,Central America,NP-1832582
MX-2015-VD2167039-42252,2015-09-05,2015-09-08,First Class,Critical,LATAM,Central America,VD-2167039
IN-2012-PB19210127-41259,2012-12-16,2012-12-19,First Class,Critical,Asia Pacific,Eastern Asia,PB-19210127
ES-2012-EB1411048-40981,2012-03-13,2012-03-16,Second Class,Critical,Europe,Western Europe,EB-1411048
CA-2012-AH10030140-41020,2012-04-21,2012-04-23,Second Class,Critical,USCA,Eastern US,AH-100301406
IN-2013-BP1123058-41329,2013-02-24,2013-02-24,Same Day,Critical,Asia Pacific,Southern Asia,BP-1123058
US-2012-RR1952536-41270,2012-12-27,2012-12-29,Second Class,Critical,LATAM,Caribbean,RR-1952536
ES-2013-BS1136545-41472,2013-07-17,2013-07-19,First Class,Critical,Europe,Western Europe,BS-1136545
CA-2013-AH10030140-41635,2013-12-27,2013-12-31,Standard Class,Medium,USCA,Western US,AH-100301404
IN-2012-DP131057-41215,2012-11-02,2012-11-04,Second Class,Critical,Asia Pacific,Oceania,DP-131057
CG-2012-AH1003033-41165,2012-09-13,2012-09-14,First Class,High,Africa,Central Africa,AH-1003033
CA-2012-AH10030140-41041,2012-05-12,2012-05-18,Standard Class,Medium,USCA,Western US,AH-100301404
CA-2012-AH10030140-41273,2012-12-30,2012-12-31,First Class,High,USCA,Eastern US,AH-100301406
ES-2015-PO18865139-42018,2015-01-14,2015-01-18,Standard Class,High,Europe,Northern Europe,PO-18865139
IN-2012-DL128657-40918,2012-01-10,2012-01-11,First Class,Medium,Asia Pacific,Oceania,DL-128657
ID-2014-JB1600059-41873,2014-08-22,2014-08-26,Standard Class,High,Asia Pacific,Southeastern Asia,JB-1600059
IN-2015-BF1100558-42319,2015-11-11,2015-11-15,Standard Class,High,Asia Pacific,Southern Asia,BF-1100558
IN-2015-VG2180558-42273,2015-09-26,2015-09-28,Second Class,Medium,Asia Pacific,Southern Asia,VG-2180558
ES-2013-GT14710139-41621,2013-12-13,2013-12-17,Standard Class,High,Europe,Northern Europe,GT-14710139
IT-2012-ZC2191048-41174,2012-09-22,2012-09-24,First Class,Critical,Europe,Western Europe,ZC-2191048
CA-2014-AH10030140-41719,2014-03-21,2014-03-26,Second Class,Medium,USCA,Southern US,AH-100301408
IT-2014-EB1384045-41706,2014-03-08,2014-03-08,Same Day,Critical,Europe,Western Europe,EB-1384045
IN-2015-AP1091527-42244,2015-08-28,2015-08-29,First Class,High,Asia Pacific,Eastern Asia,AP-1091527
IN-2015-SW2027558-42125,2015-05-01,2015-05-01,Same Day,Critical,Asia Pacific,Southern Asia,SW-2027558
MX-2015-JH15820141-42356,2015-12-18,2015-12-20,Second Class,High,LATAM,South America,JH-15820141
US-2012-AH10030140-41206,2012-10-24,2012-10-27,First Class,High,USCA,Western US,AH-100301404
IR-2015-TG1164060-42265,2015-09-18,2015-09-21,First Class,Critical,Asia Pacific,Southern Asia,TG-1164060
MZ-2014-DG330087-41991,2014-12-18,2014-12-18,Same Day,High,Africa,Eastern Africa,DG-330087
IN-2013-SG2047058-41424,2013-05-30,2013-05-31,First Class,Critical,Asia Pacific,Southern Asia,SG-2047058
IN-2013-GP1474058-41419,2013-05-25,2013-05-28,Second Class,Critical,Asia Pacific,Southern Asia,GP-1474058
IN-2015-MW182207-42221,2015-08-05,2015-08-06,First Class,High,Asia Pacific,Oceania,MW-182207
IN-2015-CS1246011-42074,2015-03-11,2015-03-13,Second Class,High,Asia Pacific,Southern Asia,CS-1246011
CA-2015-AH10030140-42357,2015-12-19,2015-12-23,Standard Class,Medium,USCA,Eastern US,AH-100301406
ES-2015-MS1798048-42227,2015-08-11,2015-08-16,Second Class,Medium,Europe,Western Europe,MS-1798048
IT-2014-KC1667548-41882,2014-08-31,2014-09-03,First Class,Critical,Europe,Western Europe,KC-1667548
IN-2015-DB1340527-42022,2015-01-18,2015-01-23,Standard Class,High,Asia Pacific,Eastern Asia,DB-1340527
CA-2015-AS10045140-42007,2015-01-03,2015-01-05,First Class,High,USCA,Southern US,AS-100451408
IT-2015-DK13090120-42345,2015-12-07,2015-12-08,First Class,High,Europe,Southern Europe,DK-13090120
IN-2015-CS1184558-42354,2015-12-16,2015-12-19,First Class,Critical,Asia Pacific,Southern Asia,CS-1184558
MX-2015-EM1420082-42328,2015-11-20,2015-11-20,Same Day,Critical,LATAM,Central America,EM-1420082
UP-2012-DW3480137-41221,2012-11-08,2012-11-10,First Class,Critical,Europe,Eastern Europe,DW-3480137
IN-2014-AS1022527-41797,2014-06-07,2014-06-09,First Class,High,Asia Pacific,Eastern Asia,AS-1022527
MX-2012-ST2053093-41234,2012-11-21,2012-11-22,First Class,Medium,LATAM,Central America,ST-2053093
CG-2014-BW106533-41727,2014-03-29,2014-03-31,Second Class,High,Africa,Central Africa,BW-106533
IN-2015-LA1678059-42242,2015-08-26,2015-08-27,First Class,High,Asia Pacific,Southeastern Asia,LA-1678059
ES-2013-AB10150139-41537,2013-09-20,2013-09-22,Second Class,High,Europe,Northern Europe,AB-10150139
IN-2015-JH158207-42140,2015-05-16,2015-05-18,Second Class,Critical,Asia Pacific,Oceania,JH-158207
CA-2015-AS10045140-42218,2015-08-02,2015-08-08,Standard Class,Medium,USCA,Central US,AS-100451402
ES-2014-BE1141048-41967,2014-11-24,2014-11-25,First Class,Critical,Europe,Western Europe,BE-1141048
IN-2012-SZ2003527-41221,2012-11-08,2012-11-10,Second Class,Medium,Asia Pacific,Eastern Asia,SZ-2003527
IN-2012-RM1937558-41209,2012-10-27,2012-10-27,Same Day,Critical,Asia Pacific,Southern Asia,RM-1937558
ES-2015-HG1484545-42327,2015-11-19,2015-11-23,Standard Class,High,Europe,Western Europe,HG-1484545
MO-2015-DP310586-42305,2015-10-28,2015-10-30,Second Class,Medium,Africa,North Africa,DP-310586
CA-2014-AS10045140-41908,2014-09-26,2014-09-28,First Class,Critical,USCA,Western US,AS-100451404
US-2015-AS10045140-42252,2015-09-05,2015-09-06,First Class,High,USCA,Western US,AS-100451404
ES-2014-JB1600048-41668,2014-01-29,2014-02-05,Standard Class,Low,Europe,Western Europe,JB-1600048
ID-2013-AM1070559-41535,2013-09-18,2013-09-21,Second Class,Critical,Asia Pacific,Southeastern Asia,AM-1070559
MO-2014-AB25586-41966,2014-11-23,2014-11-23,Same Day,Medium,Africa,North Africa,AB-25586
IN-2013-RP192707-41438,2013-06-13,2013-06-13,Same Day,High,Asia Pacific,Oceania,RP-192707
IN-2014-BK1126011-41940,2014-10-28,2014-10-31,First Class,Medium,Asia Pacific,Southern Asia,BK-1126011
IN-2014-JM1525027-41985,2014-12-12,2014-12-14,First Class,High,Asia Pacific,Eastern Asia,JM-1525027
CA-2015-AS10045140-42281,2015-10-04,2015-10-09,Standard Class,Medium,USCA,Western US,AS-100451404
ES-2014-NZ1856545-41975,2014-12-02,2014-12-02,Same Day,Critical,Europe,Western Europe,NZ-1856545
ID-2014-SC20695102-41667,2014-01-28,2014-01-30,First Class,High,Asia Pacific,Southeastern Asia,SC-20695102
IN-2013-NC186257-41401,2013-05-07,2013-05-07,Same Day,High,Asia Pacific,Oceania,NC-186257
ES-2014-NF183858-41970,2014-11-27,2014-11-29,First Class,High,Europe,Western Europe,NF-183858
IN-2013-NZ185657-41606,2013-11-28,2013-12-02,Second Class,Medium,Asia Pacific,Oceania,NZ-185657
IT-2013-PM1894045-41546,2013-09-29,2013-09-29,Same Day,Critical,Europe,Western Europe,PM-1894045
ES-2014-MZ1733545-41885,2014-09-03,2014-09-05,Second Class,High,Europe,Western Europe,MZ-1733545
CG-2014-HM498033-41846,2014-07-26,2014-08-01,Standard Class,Low,Africa,Central Africa,HM-498033
IN-2015-RW195407-42327,2015-11-19,2015-11-25,Standard Class,Low,Asia Pacific,Oceania,RW-195407
ES-2013-LH1715545-41444,2013-06-19,2013-06-19,Same Day,High,Europe,Western Europe,LH-1715545
MX-2013-FH1436582-41558,2013-10-11,2013-10-14,First Class,Medium,LATAM,Central America,FH-1436582
ES-2012-KM1666048-41129,2012-08-08,2012-08-10,First Class,Critical,Europe,Western Europe,KM-1666048
ES-2012-PO1886545-41217,2012-11-04,2012-11-08,Second Class,High,Europe,Western Europe,PO-1886545
US-2012-AS10045140-41116,2012-07-26,2012-08-01,Standard Class,Medium,USCA,Eastern US,AS-100451406
MX-2014-AB1006028-41755,2014-04-26,2014-04-28,First Class,High,LATAM,South America,AB-1006028
IN-2014-DB130607-41999,2014-12-26,2014-12-26,Same Day,High,Asia Pacific,Oceania,DB-130607
IT-2014-VM2168591-41711,2014-03-13,2014-03-13,Same Day,High,Europe,Western Europe,VM-2168591
CA-2014-AS10045140-41727,2014-03-29,2014-04-01,First Class,Medium,USCA,Southern US,AS-100451408
ES-2013-DM1352548-41369,2013-04-05,2013-04-05,Same Day,High,Europe,Western Europe,DM-1352548
ES-2013-NM18520120-41634,2013-12-26,2013-12-28,Second Class,Critical,Europe,Southern Europe,NM-18520120
IN-2014-LC168857-41747,2014-04-18,2014-04-19,First Class,Critical,Asia Pacific,Oceania,LC-168857
IN-2012-RO1978027-41052,2012-05-23,2012-05-25,Second Class,High,Asia Pacific,Eastern Asia,RO-1978027
ES-2014-EM1406548-41775,2014-05-16,2014-05-20,Second Class,High,Europe,Western Europe,EM-1406548
IT-2012-ON1871545-40955,2012-02-16,2012-02-19,Second Class,Medium,Europe,Western Europe,ON-1871545
IN-2014-VS2182027-41790,2014-05-31,2014-06-02,First Class,Critical,Asia Pacific,Eastern Asia,VS-2182027
IN-2014-CM121157-41913,2014-10-01,2014-10-02,First Class,High,Asia Pacific,Oceania,CM-121157
CA-2015-AB10060140-42315,2015-11-07,2015-11-14,Standard Class,Low,USCA,Western US,AB-100601404
CA-2014-AB10060140-41884,2014-09-02,2014-09-04,First Class,Critical,USCA,Eastern US,AB-100601406
ID-2014-JK153257-41984,2014-12-11,2014-12-14,Second Class,Critical,Asia Pacific,Oceania,JK-153257
IT-2015-RP1927045-42081,2015-03-18,2015-03-21,Second Class,Critical,Europe,Western Europe,RP-1927045
IN-2015-DW1354078-42357,2015-12-19,2015-12-20,First Class,Critical,Asia Pacific,Southeastern Asia,DW-1354078
US-2014-AB10060140-41712,2014-03-14,2014-03-19,Standard Class,Medium,USCA,Southern US,AB-100601408
MX-2015-GM1444037-42265,2015-09-18,2015-09-18,Same Day,Critical,LATAM,South America,GM-1444037
IN-2014-SV2081558-41968,2014-11-25,2014-11-27,First Class,Critical,Asia Pacific,Southern Asia,SV-2081558
IN-2014-MM1792027-41950,2014-11-07,2014-11-10,First Class,Critical,Asia Pacific,Eastern Asia,MM-1792027
IN-2015-JK1612059-42204,2015-07-19,2015-07-23,Standard Class,High,Asia Pacific,Southeastern Asia,JK-1612059
ID-2013-EM14200130-41502,2013-08-16,2013-08-16,Same Day,High,Asia Pacific,Southeastern Asia,EM-14200130
CA-2015-AB10060140-42314,2015-11-06,2015-11-08,First Class,High,USCA,Central US,AB-100601402
IN-2013-PM1894059-41284,2013-01-10,2013-01-14,Standard Class,High,Asia Pacific,Southeastern Asia,PM-1894059
MX-2014-AT1043582-41667,2014-01-28,2014-01-30,First Class,Medium,LATAM,Central America,AT-1043582
ID-2013-AB1001527-41439,2013-06-14,2013-06-17,First Class,Critical,Asia Pacific,Eastern Asia,AB-1001527
MX-2013-PV1898518-41614,2013-12-06,2013-12-08,First Class,High,LATAM,South America,PV-1898518
IT-2014-SB2029064-41887,2014-09-05,2014-09-07,Second Class,High,Europe,Southern Europe,SB-2029064
SO-2015-SM10005116-42265,2015-09-18,2015-09-20,First Class,High,Africa,Eastern Africa,SM-10005116
IN-2013-KH1633059-41489,2013-08-03,2013-08-08,Standard Class,High,Asia Pacific,Southeastern Asia,KH-1633059
IN-2015-MP181757-42347,2015-12-09,2015-12-11,First Class,High,Asia Pacific,Oceania,MP-181757
IN-2013-LH1702027-41572,2013-10-25,2013-10-28,First Class,Critical,Asia Pacific,Eastern Asia,LH-1702027
CA-2015-AB10060140-42132,2015-05-08,2015-05-13,Standard Class,Medium,USCA,Western US,AB-100601404
ID-2014-CR126257-41878,2014-08-27,2014-08-29,Second Class,High,Asia Pacific,Oceania,CR-126257
IN-2012-NC1862511-41041,2012-05-12,2012-05-16,Standard Class,High,Asia Pacific,Southern Asia,NC-1862511
IT-2012-GM1468091-41215,2012-11-02,2012-11-05,First Class,High,Europe,Western Europe,GM-1468091
ES-2015-RA1994545-42218,2015-08-02,2015-08-03,First Class,Critical,Europe,Western Europe,RA-1994545
