order_id,returned_flag
CA-2012-SA20830140-41210,TRUE
IN-2012-PB19210127-41259,TRUE
CA-2012-SC20095140-41174,TRUE
IN-2015-JH158207-42140,TRUE
IN-2014-LC168857-41747,TRUE
ID-2013-AB1001527-41439,TRUE
ES-2015-RA1994545-42218,TRUE
CA-2014-TB21280140-41724,TRUE
ES-2014-JF15295120-41924,TRUE
IN-2014-NM1844527-41800,TRUE
IN-2015-GB145307-42260,TRUE
ES-2012-SC208458-41070,TRUE
TU-2013-SF10200134-41417,TRUE
ID-2015-RD1993092-42140,TRUE
CA-2014-TC21295140-41800,TRUE
SF-2015-MV8190117-42362,TRUE
IN-2014-EM1382566-41850,TRUE
ES-2015-CC1210045-42182,TRUE
ES-2015-MM1792045-42199,TRUE
IN-2015-DB1306027-42353,TRUE
IN-2013-JC157757-41310,TRUE
CA-2015-RB19705140-42262,TRUE
ES-2015-BB1154548-42336,TRUE
AL-2012-SC102302-40970,TRUE
UP-2014-MC7275137-41997,TRUE
IN-2013-EJ13720113-41608,TRUE
CA-2012-AJ10780140-41212,TRUE
CA-2014-EM14140140-41822,TRUE
ES-2015-RD19585120-42007,TRUE
US-2014-SC20230140-41873,TRUE
IN-2013-JR1570058-41441,TRUE
IN-2013-DL129257-41418,TRUE
ES-2014-EG1390045-41644,TRUE
ES-2013-DB1297045-41458,TRUE
CA-2014-CL12565140-41768,TRUE
ES-2014-EB13930139-41962,TRUE
IN-2015-ML1739559-42369,TRUE
SA-2015-MC7575110-42326,TRUE
CA-2014-SS1041023-41995,TRUE
ID-2015-ST205307-42336,TRUE
MX-2012-AH1003082-41251,TRUE
ID-2015-MM1726078-42181,TRUE
IT-2015-DM1301564-42167,TRUE
IN-2015-JW1595527-42190,TRUE
CA-2013-SG20080140-41578,TRUE
IN-2014-PF1912027-41916,TRUE
US-2015-AG1052582-42355,TRUE
IN-2015-PB191057-42281,TRUE
MX-2015-BS1136518-42199,TRUE
IT-2012-MP1817545-41040,TRUE
IN-2014-BT1168027-41815,TRUE
IN-2013-MH180257-41443,TRUE
ID-2015-LW172157-42293,TRUE
MX-2014-KA1652539-41922,TRUE
ID-2015-CS123557-42328,TRUE
IN-2015-KM163757-42342,TRUE
MX-2013-PK1891082-41532,TRUE
ES-2015-BT1139564-42088,TRUE
MX-2013-CC1243082-41634,TRUE
IT-2015-AR1082545-42290,TRUE
ID-2014-CS11860102-41858,TRUE
IN-2014-AB1060058-41858,TRUE
IN-2012-CG1204027-41252,TRUE
AG-2013-PO88653-41634,TRUE
EG-2015-CM211538-42144,TRUE
ES-2015-BN1151545-42304,TRUE
IN-2014-CL1189066-41999,TRUE
ID-2015-AA1064559-42332,TRUE
ES-2014-JK1609064-41800,TRUE
IN-2015-CD1192059-42326,TRUE
IN-2012-ES1408027-40941,TRUE
MX-2013-DO1364512-41461,TRUE
CG-2013-SC1030533-41538,TRUE
SI-2015-SM10005115-42252,TRUE
IN-2012-GT1471058-41158,TRUE
ID-2013-SC2080059-41380,TRUE
MX-2013-HF1499518-41423,TRUE
ES-2012-AG1049545-41002,TRUE
IN-2015-SD2048527-42259,TRUE
CA-2012-PC18745140-41273,TRUE
US-2015-DH13075140-42092,TRUE
ES-2015-LR1691545-42237,TRUE
SF-2015-CD1920117-42055,TRUE
ES-2012-TT2146045-41014,TRUE
IN-2015-PS1904558-42272,TRUE
CA-2015-KL16555140-42313,TRUE
US-2013-PO1918082-41504,TRUE
ID-2015-JG15310130-42133,TRUE
ES-2014-MG17680120-41867,TRUE
ES-2015-RA1994548-42249,TRUE
IT-2015-KD1634545-42238,TRUE
CA-2012-DP13165140-41244,TRUE
CA-2014-EH13765140-41997,TRUE
ID-2015-TB214007-42322,TRUE
MX-2013-ES1408018-41619,TRUE
IN-2012-TB2152059-41207,TRUE
ES-2012-MR1754564-41157,TRUE
IN-2015-GW1460558-42173,TRUE
CA-2013-JK15205140-41544,TRUE
IN-2015-GM1445558-42273,TRUE
CA-2015-MG18145140-42285,TRUE
CA-2013-EM13960140-41548,TRUE
ES-2014-RM1937545-41643,TRUE
IN-2012-GG1465027-40992,TRUE
IN-2014-TB2140066-41873,TRUE
MX-2015-MP1796518-42189,TRUE
US-2012-LT17110140-41060,TRUE
ES-2013-BF1117048-41527,TRUE
ID-2013-CC126857-41572,TRUE
ES-2013-AJ1094548-41444,TRUE
US-2015-GZ14545140-42212,TRUE
ES-2015-BM1165045-42176,TRUE
ID-2014-RD197207-41776,TRUE
MX-2015-DB1336018-42280,TRUE
US-2012-CV12295140-40995,TRUE
IT-2013-BF1102045-41418,TRUE
IN-2015-LT1676511-42286,TRUE
IN-2015-VB217451-42349,TRUE
IT-2014-JG15115104-41952,TRUE
MX-2012-JP1552018-41174,TRUE
MX-2012-RD1993051-41223,TRUE
IN-2015-AT1043559-42243,TRUE
IN-2012-SC2069559-41248,TRUE
ES-2012-ER13855120-41159,TRUE
ES-2012-TB2162545-41262,TRUE
ES-2013-CM124458-41375,TRUE
US-2012-BF11170140-41266,TRUE
ID-2014-CJ1187592-41831,TRUE
RS-2015-GG4650108-42102,TRUE
ES-2015-KA1652545-42353,TRUE
MX-2014-CW1190593-41788,TRUE
MX-2015-SV2078582-42347,TRUE
ES-2012-DJ1351048-40923,TRUE
CA-2014-HF14995140-41761,TRUE
CA-2014-CL12565140-41788,TRUE
CA-2012-LR16915140-41128,TRUE
CA-2015-KH16510140-42347,TRUE
MX-2015-KC1667518-42070,TRUE
CA-2014-ON18715140-41959,TRUE
IN-2013-MA1799559-41314,TRUE
IS-2014-RA928563-41916,TRUE
IN-2012-TB2162588-41177,TRUE
IN-2012-MC1784559-41116,TRUE
ID-2014-KH16690144-41991,TRUE
ES-2015-AT1073545-42367,TRUE
ES-2014-PO1885048-41898,TRUE
CA-2015-EB13750140-42111,TRUE
EG-2015-AC66038-42250,TRUE
IN-2013-TH2111558-41488,TRUE
ES-2012-GH14485139-41054,TRUE
ES-2014-LL1684048-41986,TRUE
CA-2014-NS18640140-41985,TRUE
ID-2012-MD1786059-40965,TRUE
ES-2012-TB2140048-40968,TRUE
